📺央视频道,#genre#
NewTV超级综艺(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV超级综艺(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV潮妈辣婆(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV潮妈辣婆(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV东北热剧(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV东北热剧(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8
NewTV动作电影(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV动作电影(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTV古装剧场(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTV古装剧场(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV海外剧场(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
NewTV欢乐剧场(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV家庭剧场(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV家庭剧场(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225682/index.m3u8
NewTV家庭剧场(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8
NewTV金牌综艺(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV金牌综艺(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8
NewTV惊悚悬疑(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV惊悚悬疑(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8
NewTV精品大剧(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8
NewTV精品纪录(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
NewTV精品纪录(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTV精品体育(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
NewTV军旅剧场(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV军旅剧场(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
